date,channel,messages
2026-06-02,🌈︱art-block-bot,1
2026-06-02,💬︱general,14
2026-06-02,💰︱commissions,1
2026-06-02,🔥︱open-to-critique,5
2026-06-02,🖌️︱ibis-paint,1
2026-06-02,🧚🏻︱cosplays,1
2026-06-03,➡️︱introduce-yourself,3
2026-06-03,🎹︱music-composing,1
2026-06-03,💬︱general,26
2026-06-03,💰︱commissions,7
2026-06-03,📺︱watch-anime,21
2026-06-03,🖌️︱sketchbook,3
2026-06-03,🖼︱traditional,4
2026-06-03,🧚🏻︱cosplays,3
2026-06-04,➡️︱introduce-yourself,1
2026-06-04,⭐︱recommend-artists,1
2026-06-04,🎭︱voice-act,4
2026-06-04,💬︱general,88
2026-06-04,💰︱commissions,3
2026-06-04,🔥︱open-to-critique,5
2026-06-04,🖌️︱clip-studio-paint,1
2026-06-04,🖌️︱procreate,1
2026-06-04,🖼︱traditional,1
2026-06-04,🧚🏻︱cosplays,3
2026-06-05,**$15 Compensation - Seeking Beginners Artists only** :mobile_phone::pencil2:,1
2026-06-05,➡️︱introduce-yourself,4
2026-06-05,🎭︱voice-act,1
2026-06-05,💬︱general,26
2026-06-05,💰︱commissions,6
2026-06-05,📷︱photography,1
2026-06-05,📺︱watch-anime,6
2026-06-05,🖌️︱ibis-paint,1
2026-06-05,🖌️︱sketchbook,1
2026-06-05,🖼︱traditional,5
2026-06-06,➡️︱introduce-yourself,3
2026-06-06,🏫︱be-a-teacher,1
2026-06-06,💬︱general,45
2026-06-06,💰︱commissions,5
2026-06-06,📘︱writing,1
2026-06-06,📷︱photography,4
2026-06-06,📺︱watch-anime,2
2026-06-06,🔥︱open-to-critique,1
2026-06-07,➡️︱introduce-yourself,5
2026-06-07,💬︱general,11
2026-06-07,💭︱random-and-memes,2
2026-06-07,💰︱commissions,4
2026-06-07,📷︱photography,1
2026-06-07,🔥︱open-to-critique,2
2026-06-07,🖌️︱ibis-paint,1
2026-06-07,🖌️︱sketchbook,1
2026-06-07,🖼︱traditional,1
2026-06-07,🧚🏻︱cosplays,2
2026-06-07,idk,3
2026-06-08,➡️︱introduce-yourself,7
2026-06-08,🏫︱be-a-teacher,4
2026-06-08,💬︱general,21
2026-06-08,💭︱random-and-memes,2
2026-06-08,💰︱commissions,7
2026-06-08,📷︱photography,4
2026-06-08,🖌️︱ibis-paint,5
2026-06-08,🖌️︱sketchbook,1
2026-06-08,🖼︱traditional,2
2026-06-08,🧚🏻︱cosplays,1
2026-06-09,➡️︱introduce-yourself,4
2026-06-09,💬︱general,12
2026-06-09,💭︱random-and-memes,1
2026-06-09,💰︱commissions,5
2026-06-09,📷︱photography,4
2026-06-09,🖌️︱ibis-paint,10
2026-06-09,🖌️︱sketchbook,1
2026-06-09,🖼︱traditional,3
2026-06-09,Legendary battle,1
2026-06-09,Obsession print,1
2026-06-10,➡️︱introduce-yourself,1
2026-06-10,⭐︱recommend-artists,1
2026-06-10,🎹︱music-composing,2
2026-06-10,💬︱general,16
2026-06-10,💰︱commissions,6
2026-06-10,🖌️︱clip-studio-paint,2
2026-06-10,🖌️︱ibis-paint,4
2026-06-10,Aot eren,1
2026-06-10,Birthday Doodle,1
2026-06-11,➡️︱introduce-yourself,3
2026-06-11,🏫︱be-a-teacher,5
2026-06-11,💬︱general,41
2026-06-11,💰︱commissions,7
2026-06-11,📷︱photography,2
2026-06-11,🔥︱open-to-critique,4
2026-06-11,🖌️︱clip-studio-paint,1
2026-06-11,🖌️︱sketchbook,1
2026-06-11,🖼︱traditional,1
2026-06-12,➡️︱introduce-yourself,2
2026-06-12,🌈︱art-block-bot,1
2026-06-12,🍗︱food-photos,1
2026-06-12,🎨︱color-palettes,1
2026-06-12,🎭︱voice-act,2
2026-06-12,🐈︱adopts,1
2026-06-12,💬︱general,90
2026-06-12,💭︱random-and-memes,1
2026-06-12,💰︱commissions,7
2026-06-12,📦︱jackbox,1
2026-06-12,📷︱photography,1
