date,messages,humans,bots,authors
2026-06-02,23,23,0,7
2026-06-03,68,68,0,24
2026-06-04,108,108,0,19
2026-06-05,52,52,0,23
2026-06-06,62,62,0,19
2026-06-07,33,33,0,18
2026-06-08,54,54,0,26
2026-06-09,42,42,0,19
2026-06-10,34,34,0,16
2026-06-11,65,65,0,17
2026-06-12,112,112,0,18
2026-06-13,30,30,0,19
2026-06-14,59,59,0,21
2026-06-15,33,33,0,17
2026-06-16,20,20,0,14
2026-06-17,37,37,0,23
2026-06-18,41,41,0,21
2026-06-19,41,41,0,19
2026-06-20,35,35,0,13
2026-06-21,27,27,0,20
2026-06-22,39,39,0,21
2026-06-23,48,48,0,25
2026-06-24,22,22,0,19
2026-06-25,26,26,0,17
2026-06-26,31,31,0,10
2026-06-27,38,38,0,22
2026-06-28,14,14,0,12
2026-06-29,15,15,0,10
2026-06-30,40,40,0,18
2026-07-01,36,36,0,22
2026-07-02,43,43,0,18
2026-07-03,20,20,0,14
2026-07-04,36,36,0,13
2026-07-05,50,50,0,18
2026-07-06,67,67,0,22
2026-07-07,31,31,0,15
2026-07-08,87,87,0,24
2026-07-09,36,36,0,18
2026-07-10,39,39,0,14
2026-07-11,28,28,0,14
2026-07-12,34,34,0,18
2026-07-13,50,50,0,22
2026-07-14,28,28,0,16
2026-07-15,13,13,0,10
2026-07-16,23,23,0,15
2026-07-17,87,87,0,19
2026-07-18,21,21,0,11
2026-07-19,26,26,0,14
2026-07-20,49,49,0,14
2026-07-21,88,88,0,21
2026-07-22,47,47,0,20
2026-07-23,35,35,0,26
2026-07-24,47,47,0,17
2026-07-25,17,17,0,9
2026-07-26,33,33,0,10
2026-07-27,44,44,0,19
2026-07-28,22,22,0,13
2026-07-29,48,48,0,14
2026-07-30,16,16,0,14
2026-07-31,16,16,0,13
2026-08-01,12,12,0,8
2026-08-02,29,29,0,14
2026-08-03,53,53,0,28
2026-08-04,21,21,0,17
2026-08-05,34,34,0,23
2026-08-06,49,49,0,23
2026-08-07,37,37,0,25
2026-08-08,26,26,0,14
2026-08-09,22,22,0,18
2026-08-10,28,28,0,17
2026-08-11,41,41,0,17
2026-08-12,63,63,0,29
2026-08-13,38,38,0,23
2026-08-14,33,33,0,23
2026-08-15,35,35,0,20
2026-08-16,32,32,0,17
2026-08-17,48,48,0,23
2026-08-18,40,40,0,32
2026-08-19,44,44,0,19
2026-08-20,35,35,0,24
2026-08-21,163,163,0,30
2026-08-22,119,119,0,20
2026-08-23,40,40,0,23
2026-08-24,28,28,0,17
2026-08-25,81,81,0,17
2026-08-26,93,73,20,24
2026-08-27,103,72,31,33
2026-08-28,65,49,16,26
2026-08-29,68,46,22,17
2026-08-30,103,71,32,25
2026-08-31,219,174,45,26
2026-09-01,50,39,11,8
