ts_utc,followers,following,posts
2026-08-31T09:00:00Z,6128,841,44
2026-08-31T17:00:00Z,6127,809,44
2026-08-31T22:00:00Z,6135,800,44
2026-09-01T01:00:00Z,6136,800,44
2026-09-01T07:00:00Z,6145,820,44
2026-09-01T13:00:00Z,6145,799,44
2026-09-01T17:00:00Z,6151,820,44
2026-09-01T20:00:00Z,6163,816,44
2026-09-01T23:00:00Z,6165,816,44
2026-09-02T03:00:00Z,6166,816,44
2026-09-02T08:00:00Z,6171,807,44
2026-09-02T13:00:00Z,6174,807,44
2026-09-02T17:00:00Z,6174,800,44
2026-09-02T20:00:00Z,6178,817,44
2026-09-02T22:00:00Z,6178,817,44
2026-09-03T01:00:00Z,6179,817,44
2026-09-03T06:00:00Z,6180,817,44
2026-09-03T11:00:00Z,6181,800,44
2026-09-03T15:00:00Z,6180,800,44
2026-09-03T19:00:00Z,6182,800,44
2026-09-03T22:00:00Z,6182,800,44
2026-09-04T00:00:00Z,6182,800,44
