date,reach,views,profile_views,accounts_engaged,total_interactions,likes,saves,shares,comments,profile_links_taps,follows,unfollows
2026-06-03,0,0,4,0,0,0,0,0,0,0,0,0
2026-06-04,5,22,9,1,3,2,0,0,1,0,6,0
2026-06-05,3,2,1,0,0,0,0,0,0,0,3,0
2026-06-06,1,5,5,0,0,0,0,0,0,0,2,0
2026-06-07,0,1,4,0,0,0,0,0,0,0,1,0
2026-06-08,1,2,3,0,0,0,0,0,0,0,2,0
2026-06-09,0,0,2,0,0,0,0,0,0,0,1,0
2026-06-10,2,3,3,1,2,2,0,0,0,0,0,0
2026-06-11,3,8,2,0,0,0,0,0,0,0,2,0
2026-06-12,2,4,4,0,0,0,0,0,0,0,2,0
2026-06-13,2,2,4,0,0,0,0,0,0,0,2,0
2026-06-14,0,0,3,0,0,0,0,0,0,0,4,0
2026-06-15,2,3,3,0,0,0,0,0,0,0,1,0
2026-06-16,1,3,2,0,0,0,0,0,0,0,5,0
2026-06-17,1,4,4,0,0,0,0,0,0,0,0,0
2026-06-18,3,20,8,0,0,0,0,0,0,0,3,0
2026-06-19,1,2,1,0,0,0,0,0,0,0,2,0
2026-06-20,1,0,3,0,0,0,0,0,0,0,0,0
2026-06-21,0,0,1,0,0,0,0,0,0,0,3,0
2026-06-22,1,25,4,0,0,0,0,0,0,0,3,0
2026-06-23,1,2,1,0,0,0,0,0,0,0,3,0
2026-06-24,0,0,5,0,0,0,0,0,0,0,4,0
2026-06-25,0,0,0,0,0,0,0,0,0,0,2,0
2026-06-26,0,0,1,1,1,1,0,0,0,0,1,0
2026-06-27,2,4,4,0,0,0,0,0,0,0,2,0
2026-06-28,1,6,5,1,1,1,0,0,0,0,1,0
2026-06-29,1,0,5,0,0,0,0,0,0,0,3,0
2026-06-30,1,2,7,0,0,0,0,0,0,0,5,0
2026-07-01,0,0,4,0,0,0,0,0,0,0,4,0
2026-07-02,0,0,2,0,0,0,0,0,0,0,2,0
2026-07-03,1,7,4,0,0,0,0,0,0,0,0,0
2026-07-04,0,0,1,0,0,0,0,0,0,0,1,0
2026-07-05,1,2,5,0,0,0,0,0,0,0,4,0
2026-07-06,0,0,1,0,0,0,0,0,0,0,1,0
2026-07-07,1,4,1,0,0,0,0,0,0,0,3,0
2026-07-08,2,22,5,0,0,0,0,0,0,0,2,0
2026-07-09,3,41,6,0,0,0,0,0,0,0,0,0
2026-07-10,1,2,2,0,0,0,0,0,0,0,1,0
2026-07-11,0,1,1,1,1,1,0,0,0,0,1,0
2026-07-12,1,6,5,0,0,0,0,0,0,0,1,0
2026-07-13,0,0,5,0,0,0,0,0,0,0,4,0
2026-07-14,0,0,4,0,0,0,0,0,0,0,2,0
2026-07-15,1,3,3,0,0,0,0,0,0,0,2,0
2026-07-16,1,14,5,0,0,0,0,0,0,0,2,0
2026-07-17,2,7,4,0,0,0,0,0,0,0,2,0
2026-07-18,0,0,2,0,0,0,0,0,0,0,0,0
2026-07-19,0,0,0,0,0,0,0,0,0,0,1,0
2026-07-20,0,0,2,0,0,0,0,0,0,0,1,0
2026-07-21,1,2,2,1,1,1,0,0,0,0,2,0
2026-07-22,0,0,2,0,0,0,0,0,0,0,3,0
2026-07-23,0,0,2,0,0,0,0,0,0,0,3,0
2026-07-24,1,3,2,0,0,0,0,0,0,0,1,0
2026-07-25,0,0,2,0,0,0,0,0,0,0,2,0
2026-07-26,0,0,6,0,0,0,0,0,0,0,1,0
2026-07-27,0,0,2,0,0,0,0,0,0,0,1,0
2026-07-28,1,3,7,0,0,0,0,0,0,0,2,0
2026-07-29,0,0,1,0,0,0,0,0,0,0,5,0
2026-07-30,0,0,1,0,0,0,0,0,0,0,2,0
2026-07-31,1,2,7,0,0,0,0,0,0,0,2,0
2026-08-01,0,0,2,0,0,0,0,0,0,0,0,0
2026-08-02,0,0,2,0,0,0,0,0,0,0,0,0
2026-08-03,0,0,4,0,0,0,0,0,0,0,2,0
2026-08-04,0,0,0,0,0,0,0,0,0,0,1,0
2026-08-05,1,1,3,0,0,0,0,0,0,0,3,0
2026-08-06,1,1,3,0,0,0,0,0,0,0,1,0
2026-08-07,1,77,7,0,0,0,0,0,0,0,3,0
2026-08-08,1,20,5,1,1,1,0,0,0,0,4,0
2026-08-09,0,0,2,0,0,0,0,0,0,0,1,0
2026-08-10,2,17,3,0,0,0,0,0,0,0,4,0
2026-08-11,1,8,3,0,0,0,0,0,0,0,2,0
2026-08-12,0,0,3,0,0,0,0,0,0,0,1,0
2026-08-13,1,11,6,1,0,0,0,0,0,0,2,0
2026-08-14,1,0,2,0,0,0,0,0,0,0,3,0
2026-08-15,2,74,4,0,0,0,0,0,0,0,1,0
2026-08-16,6,119,8,0,0,0,0,0,0,0,4,0
2026-08-17,1,2,3,0,0,0,0,0,0,0,1,0
2026-08-18,0,0,2,0,0,0,0,0,0,0,2,0
2026-08-19,0,0,1,0,0,0,0,0,0,0,0,0
2026-08-20,1,2,3,0,0,0,0,0,0,0,2,0
2026-08-21,1,12,1,0,0,0,0,0,0,0,1,0
2026-08-22,0,1,4,0,0,0,0,0,0,0,5,0
2026-08-23,1,3,3,0,0,0,0,0,0,0,2,0
2026-08-24,0,0,1,0,0,0,0,0,0,0,3,0
2026-08-25,0,0,3,0,0,0,0,0,0,0,0,0
2026-08-26,0,0,3,0,0,0,0,0,0,0,2,0
2026-08-27,0,0,1,0,0,0,0,0,0,0,1,0
2026-08-28,1,8,5,0,0,0,0,0,0,0,0,0
2026-08-29,4,15,5,0,0,0,0,0,0,0,2,0
2026-08-30,112,276,140,18,41,40,1,0,0,0,0,0
